iter	F1	Logloss
0	0.7189249769	0.6745869408
1	0.7326306258	0.6586003775
2	0.7294577124	0.6443028552
3	0.7323408532	0.6325630116
4	0.7400196195	0.6215534388
5	0.7384628528	0.6126982381
6	0.7397508943	0.6041086812
7	0.7398089287	0.5974442342
8	0.7387722915	0.590163414
9	0.7439953441	0.5843659032
10	0.7413174399	0.5785203335
11	0.7430157295	0.5733925945
12	0.743882175	0.5677606195
13	0.7459977557	0.5635405992
14	0.7476876327	0.5597722377
15	0.7483131388	0.5559887954
16	0.7484585702	0.5521867517
17	0.7498990486	0.5485494223
18	0.7523429028	0.5452595363
19	0.7528108088	0.5425946494
20	0.7558965943	0.538479666
21	0.7574913068	0.5348872854
22	0.757565845	0.5324853429
23	0.7558223897	0.5302947653
24	0.7580096521	0.5273093691
25	0.7597264691	0.5245617436
26	0.7591616482	0.5222054541
27	0.7614639585	0.5198350814
28	0.7623508246	0.5183214933
29	0.7643539653	0.5158702011
30	0.7661421643	0.5138257363
31	0.7689734913	0.5119705141
32	0.7717240764	0.509466234
33	0.7721506838	0.5070073721
34	0.7724647884	0.5057766795
35	0.7747627833	0.5035872168
36	0.7753389483	0.5019981664
37	0.7754483712	0.5001458781
38	0.7764031351	0.4989326721
39	0.7766889153	0.4974653237
40	0.7776066633	0.4963550422
41	0.7770800061	0.4950537578
42	0.7791712313	0.4940329631
43	0.7804292246	0.4923469148
44	0.7812872282	0.4910670779
45	0.782111185	0.4898017055
46	0.7835414393	0.4887307102
47	0.7838588806	0.4867306074
48	0.7845773909	0.4853839047
49	0.7866975441	0.4840122925
50	0.7870781057	0.4822752515
51	0.787754509	0.4805099268
52	0.7894337412	0.4789477224
53	0.7915008375	0.4778127953
54	0.7916217283	0.4767604895
55	0.7925351534	0.4755504522
56	0.7938428259	0.4739562086
57	0.7944020337	0.4723862585
58	0.7966963474	0.4713209844
59	0.7955686011	0.4703427619
60	0.7966336121	0.468908773
61	0.7973994054	0.4679847414
62	0.7973005424	0.4670592721
63	0.7988000369	0.4659020467
64	0.7985856305	0.4652191012
65	0.799021255	0.4641695533
66	0.8002300732	0.4632829888
67	0.8012600303	0.4623683752
68	0.8023780559	0.4612412233
69	0.8022754008	0.460329397
70	0.8028882866	0.4591193011
71	0.80509761	0.4576616642
72	0.8061415785	0.4565599793
73	0.8055636396	0.4553776389
74	0.8078484157	0.4543278857
75	0.806955885	0.4537194636
76	0.8075710041	0.4528515299
77	0.8086501957	0.4517763683
78	0.8097464456	0.4509970411
79	0.8104248704	0.4498301336
80	0.8109176997	0.4491483617
81	0.8112551735	0.448458756
82	0.8115583656	0.4477334437
83	0.8107344698	0.4466142429
84	0.8116467166	0.4459206763
85	0.8139580728	0.4444398609
86	0.8133240198	0.4438351943
87	0.8147028553	0.4428274852
88	0.8145071001	0.4416917953
89	0.8155281679	0.4407582282
90	0.8154335547	0.4400616103
91	0.8163306067	0.4388431818
92	0.8165144464	0.4381201874
93	0.817224861	0.4371666984
94	0.8180240359	0.4356305772
95	0.8198013899	0.4345815575
96	0.8205858774	0.4335481466
97	0.8213702974	0.4322240357
98	0.8229888354	0.4312650895
99	0.8230007858	0.4307123546
100	0.8236334203	0.4293026592
101	0.8237440926	0.4286111171
102	0.8239699197	0.427228209
103	0.825038665	0.4264262021
104	0.8253693098	0.4257059949
105	0.8256279381	0.4250210837
106	0.8268325025	0.4239355064
107	0.8281950121	0.4228759243
108	0.8280697169	0.4216472268
109	0.8287602491	0.4210406825
110	0.8302732494	0.4199408167
111	0.8306876086	0.419166448
112	0.8317744635	0.4182568809
113	0.8316922226	0.4175865223
114	0.8323536952	0.4159872615
115	0.8327710542	0.4147349454
116	0.8341540486	0.4138181314
117	0.8343054991	0.4127991558
118	0.8358544749	0.4114924434
