iter	Passed	Remaining
0	46	28866
1	86	26642
2	127	26215
3	166	25597
4	209	25717
5	250	25598
6	290	25398
7	373	28607
8	512	34801
9	626	38216
10	761	42154
11	866	43902
12	996	46517
13	1088	47130
14	1213	48945
15	1342	50669
16	1469	52126
17	1618	54125
18	1796	56835
19	1900	57009
20	2005	57201
21	2139	58159
22	2213	57458
23	2283	56697
24	2340	55695
25	2391	54631
26	2437	53537
27	2482	52497
28	2531	51585
29	2572	50588
30	2614	49680
31	2654	48768
32	2694	47926
33	2739	47207
34	2807	46917
35	2860	46403
36	2915	45934
37	2955	45271
38	2996	44638
39	3040	44092
40	3085	43577
41	3134	43136
42	3179	42670
43	3218	42138
44	3259	41647
45	3299	41170
46	3337	40691
47	3391	40410
48	3431	39986
49	3488	39765
50	3606	40237
51	3681	40210
52	3785	40497
53	3853	40388
54	3906	40134
55	3964	39924
56	4052	40030
57	4145	40164
58	4208	40017
59	4279	39945
60	4334	39722
61	4414	39728
62	4491	39708
63	4563	39648
64	4691	40057
65	4793	40233
66	4937	40756
67	5006	40643
68	5110	40812
69	5222	41033
70	5283	40852
71	5350	40719
72	5422	40634
73	5480	40440
74	5523	40140
75	5577	39924
76	5619	39625
77	5663	39351
78	5719	39165
79	5761	38888
80	5811	38672
81	5849	38379
82	5900	38174
83	5944	37929
84	5989	37700
85	6033	37463
86	6075	37220
87	6155	37210
88	6227	37154
89	6278	36970
90	6329	36792
91	6371	36569
92	6431	36443
93	6474	36231
94	6521	36040
95	6570	35865
96	6642	35817
97	6694	35659
98	6784	35703
99	6866	35707
100	6919	35557
101	6989	35494
102	7037	35325
103	7095	35203
104	7153	35088
105	7214	34982
106	7303	35016
107	7370	34943
108	7432	34843
109	7480	34682
110	7525	34507
111	7569	34332
112	7626	34219
113	7721	34271
114	7783	34179
115	7841	34069
116	7889	33917
117	7933	33750
118	7977	33584
119	8025	33439
120	8068	33275
121	8112	33112
122	8168	33006
123	8217	32871
124	8275	32770
125	8346	32721
126	8484	32936
127	8541	32830
128	8599	32730
129	8654	32621
130	8716	32535
131	8815	32589
132	8870	32479
133	8928	32381
134	8982	32271
135	9030	32139
136	9074	31992
137	9115	31838
138	9162	31705
139	9258	31742
140	9317	31652
141	9381	31579
142	9430	31455
143	9496	31392
144	9547	31275
145	9594	31150
146	9647	31043
147	9692	30911
148	9743	30800
149	9795	30692
150	9852	30600
151	9898	30477
152	9943	30349
153	10023	30330
154	10084	30252
155	10185	30296
156	10254	30240
157	10317	30168
158	10398	30150
159	10452	30051
160	10493	29915
161	10536	29787
162	10586	29681
163	10637	29578
164	10681	29453
165	10724	29330
166	10765	29203
167	10815	29098
168	10861	28985
169	10904	28863
170	10997	28875
171	11070	28834
172	11127	28751
173	11188	28677
174	11235	28571
175	11276	28448
176	11340	28382
177	11431	28387
178	11498	28328
179	11556	28248
180	11641	28236
181	11697	28151
182	11758	28080
183	11806	27976
184	11859	27886
185	11917	27807
186	11970	27717
187	12021	27623
188	12087	27565
189	12180	27565
190	12273	27568
191	12350	27530
192	12405	27445
193	12461	27363
194	12531	27312
195	12618	27298
196	12687	27241
197	12762	27200
198	12813	27107
199	12869	27026
200	12916	26926
201	12966	26830
202	13014	26733
203	13065	26642
204	13116	26553
205	13163	26455
206	13216	26368
207	13271	26287
208	13332	26217
209	13384	26131
210	13434	26040
211	13495	25973
